REGEX,ENDING,AUX,PPRÉSENT,PPASSÉ,PRÉSENT,IMPARFAIT,PASSÉ,FUTUR,SPRÉSENT,SIMPARFAIT,IMPÉRATIF,CONDITION,INFINITIF
acheter|bégueter|bouveter|breveter|caleter|corseter|crocheter|émoucheter|fileter|fureter|haleter|préacheter|racheter|.*éceter,eter,avoir,etant,eté,"ète,ètes,ète,etons,etez,ètent","etais,etais,etait,etions,etiez,etaient","etai,etas,eta,etâmes,etâtes,etèrent","èterai,èteras,ètera,èterons,èterez,èteront","ète,ètes,ète,etions,etiez,ètent","etasse,etasses,etât,etassions,etassiez,etassent",",ète,,etons,etez,","èterais,èterais,èterait,èterions,èteriez,èteraient",eter
aciseler|celer|ciseler|congeler|crêpeler|déceler|décongeler|dégeler|démanteler|écarteler|embreler|encasteler|épinceler|friseler|geler|harceler|marteler|modeler|peler|receler|recongeler|regeler|remodeler|surgeler,eler,avoir,elant,elé,"èle,èles,èle,elons,elez,èlent","elais,elais,elait,elions,eliez,elaient","elai,elas,ela,elâmes,elâtes,elèrent","èlerai,èleras,èlera,èlerons,èlerez,èleront","èle,èles,èle,elions,eliez,èlent","elasse,elasses,elât,elassions,elassiez,elassent",",èle,,elons,elez,","èlerais,èlerais,èlerait,èlerions,èleriez,èleraient",eler
adirer|douer,er,avoir,,é,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",er
aller,aller,être,allant,allé,"vais,vas,va,allons,allez,vont","allais,allais,allait,allions,alliez,allaient","allai,allas,alla,allâmes,allâtes,allèrent","irai,iras,ira,irons,irez,iront","aille,ailles,aille,allions,alliez,aillent","allasse,allasses,allât,allassions,allassiez,allassent",",va,,allons,allez,","irais,irais,irait,irions,iriez,iraient",aller
arriver|entrer|rentrer|rester|retomber|tomber,er,être,ant,é,"e,es,e,ons,ez,ent","ais,ais,ait,ions,iez,aient","ai,as,a,âmes,âtes,èrent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","asse,asses,ât,assions,assiez,assent",",e,,ons,ez,","erais,erais,erait,erions,eriez,eraient",er
becter,er,avoir,ant,é,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",er
boumer|bruiner|brumasser|brumer|neigeoter|pleuvasser|pleuviner|pleuvoter|pluviner,er,avoir,ant,é,",,e,,,ent",",,ait,,,aient",",,a,,,èrent",",,era,,,eront",",,e,,,ent",",,ât,,,assent",",,,,,",",,erait,,,eraient",er
béer,er,avoir,ant,e,",,,,,","ais,ais,ait,ions,iez,aient",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",er
clamecer,ecer,avoir,eçant,ecé,"èce,èces,èce,eçons,ecez,ècent","eçais,eçais,eçait,ecions,eciez,eçaient","eçai,eças,eça,eçâmes,eçâtes,ecèrent","ècerai,èceras,ècera,ècerons,ècerez,èceront","èce,èces,èce,ecions,eciez,ècent","eçasse,eçasses,eçât,eçassions,eçassiez,eçassent",",èce,,eçons,ecez,","ècerais,ècerais,ècerait,ècerions,èceriez,èceraient",ecer
courbaturer,urer,avoir,urant,uré|u,"ure,ures,ure,urons,urez,urent","urais,urais,urait,urions,uriez,uraient","urai,uras,ura,urâmes,urâtes,urèrent","urerai,ureras,urera,urerons,urerez,ureront","ure,ures,ure,urions,uriez,urent","urasse,urasses,urât,urassions,urassiez,urassent",",ure,,urons,urez,","urerais,urerais,urerait,urerions,ureriez,ureraient",urer
discontinuer|endêver|ester,er,avoir,,,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",er
dépecer,ecer,avoir,eçant,ecé,"èce,èces,èce,eçons,ecez,ècent","eçais,eçais,eçait,ecions,eciez,eçaient","eçai,eças,eça,eçâmes,eçâtes,ecèrent","ècerai,èceras,ècera,ècerons,ècerez,èceront","èce,èces,èce,ecions,eciez,ècent","eçasse,eçasses,eçât,eçassions,eçassiez,eçassent",",èce,,eçons,ecez,","ècerais,ècerais,ècerait,ècerions,èceriez,èceraient",ecer
envoyer|renvoyer,oyer,avoir,oyant,oyé,"oie,oies,oie,oyons,oyez,oient","oyais,oyais,oyait,oyions,oyiez,oyaient","oyai,oyas,oya,oyâmes,oyâtes,oyèrent","errai,erras,erra,errons,errez,erront","oie,oies,oie,oyions,oyiez,oient","oyasse,oyasses,oyât,oyassions,oyassiez,oyassent",",oie,,oyons,oyez,","errais,errais,errait,errions,erriez,erraient",oyer
ficher,er,avoir,ant,é|u,"e,es,e,ons,ez,ent","ais,ais,ait,ions,iez,aient","ai,as,a,âmes,âtes,èrent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","asse,asses,ât,assions,assiez,assent",",e,,ons,ez,","erais,erais,erait,erions,eriez,eraient",er
incomber,er,avoir,ant,é,",,e,,,ent",",,ait,,,aient",",,a,,,èrent",",,era,,,eront",",,e,,,ent",",,ât,,,assent",",,,,,",",,erait,,,eraient",er
moufeter,er,avoir,,é,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",er
moufter,er,avoir,,é,",,,,,","ais,ais,ait,ions,iez,aient",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",er
rapiécer,écer,avoir,éçant,écé,"èce,èces,èce,éçons,écez,ècent","éçais,éçais,éçait,écions,éciez,éçaient","éçai,éças,éça,éçâmes,éçâtes,écèrent","écerai,éceras,écera,écerons,écerez,éceront","èce,èces,èce,écions,éciez,ècent","éçasse,éçasses,éçât,éçassions,éçassiez,éçassent",",èce,,éçons,écez,","écerais,écerais,écerait,écerions,éceriez,éceraient",écer
résulter,er,avoir,ant,é,",,e,,,",",,ait,,,",",,a,,,",",,era,,,",",,e,,,",",,ât,,,",",,,,,",",,erait,,,",er
urger,er,avoir,eant,é,",,e,,,",",,eait,,,",",,ea,,,",",,era,,,",",,e,,,",",,eât,,,",",,,,,",",,erait,,,",er
.*ayer,yer,avoir,yant,yé,"ie|ye,ies|yes,ie|ye,yons,yez,ient|yent","yais,yais,yait,yions,yiez,yaient","yai,yas,ya,yâmes,yâtes,yèrent","ierai|yerai,ieras|yeras,iera|yera,ierons|yerons,ierez|yerez,ieront|yeront","ie|ye,ies|yes,ie|ye,yions,yiez,ient|yent","yasse,yasses,yât,yassions,yassiez,yassent",",ye|ie,,yons,yez,","ierais|yerais,ierais|yerais,ierait|yerait,ierions|yerions,ieriez|yeriez,ieraient|yeraient",yer
.*cer,cer,avoir,çant,cé,"ce,ces,ce,çons,cez,cent","çais,çais,çait,cions,ciez,çaient","çai,ças,ça,çâmes,çâtes,cèrent","cerai,ceras,cera,cerons,cerez,ceront","ce,ces,ce,cions,ciez,cent","çasse,çasses,çât,çassions,çassiez,çassent",",ce,,çons,cez,","cerais,cerais,cerait,cerions,ceriez,ceraient",cer
.*e[lt]er,e([lt])er,avoir,e\1ant,e\1é,"e\1\1e,e\1\1es,e\1\1e,e\1ons,e\1ez,e\1\1ent","e\1ais,e\1ais,e\1ait,e\1ions,e\1iez,e\1aient","e\1ai,e\1as,e\1a,e\1âmes,e\1âtes,e\1èrent","e\1\1erai,e\1\1eras,e\1\1era,e\1\1erons,e\1\1erez,e\1\1eront","e\1\1e,e\1\1es,e\1\1e,e\1ions,e\1iez,e\1\1ent","e\1asse,e\1asses,e\1ât,e\1assions,e\1assiez,e\1assent",",e\1\1e,,e\1ons,e\1ez,","e\1\1erais,e\1\1erais,e\1\1erait,e\1\1erions,e\1\1eriez,e\1\1eraient",e\1er
.*e[mnprsv]er,e([mnprsv])er,avoir,e\1ant,e\1é,"è\1e,è\1es,è\1e,e\1ons,e\1ez,è\1ent","e\1ais,e\1ais,e\1ait,e\1ions,e\1iez,e\1aient","e\1ai,e\1as,e\1a,e\1âmes,e\1âtes,e\1èrent","è\1erai,è\1eras,è\1era,è\1erons,è\1erez,è\1eront","è\1e,è\1es,è\1e,e\1ions,e\1iez,è\1ent","e\1asse,e\1asses,e\1ât,e\1assions,e\1assiez,e\1assent",",è\1e,,e\1ons,e\1ez,","è\1erais,è\1erais,è\1erait,è\1erions,è\1eriez,è\1eraient",e\1er
.*evrer,evrer,avoir,evrant,evré,"èvre,èvres,èvre,evrons,evrez,èvrent","evrais,evrais,evrait,evrions,evriez,evraient","evrai,evras,evra,evrâmes,evrâtes,evrèrent","èvrerai,èvreras,èvrera,èvrerons,èvrerez,èvreront","èvre,èvres,èvre,evrions,evriez,èvrent","evrasse,evrasses,evrât,evrassions,evrassiez,evrassent",",èvre,,evrons,evrez,","èvrerais,èvrerais,èvrerait,èvrerions,èvreriez,èvreraient",evrer
.*neiger,er,avoir,eant,é,",,e,,,ent",",,eait,,,eaient",",,ea,,,èrent",",,era,,,eront",",,e,,,ent",",,eât,,,eassent",",,,,,",",,erait,,,eraient",er
.*oyer|.*uyer,yer,avoir,yant,yé,"ie,ies,ie,yons,yez,ient","yais,yais,yait,yions,yiez,yaient","yai,yas,ya,yâmes,yâtes,yèrent","ierai,ieras,iera,ierons,ierez,ieront","ie,ies,ie,yions,yiez,ient","yasse,yasses,yât,yassions,yassiez,yassent",",ie,,yons,yez,","ierais,ierais,ierait,ierions,ieriez,ieraient",yer
.*é[bctv]rer,é([bctv])rer,avoir,é\1rant,é\1ré,"è\1re,è\1res,è\1re,é\1rons,é\1rez,è\1rent","é\1rais,é\1rais,é\1rait,é\1rions,é\1riez,é\1raient","é\1rai,é\1ras,é\1ra,é\1râmes,é\1râtes,é\1rèrent","é\1rerai,é\1reras,é\1rera,é\1rerons,é\1rerez,é\1reront","è\1re,è\1res,è\1re,é\1rions,é\1riez,è\1rent","é\1rasse,é\1rasses,é\1rât,é\1rassions,é\1rassiez,é\1rassent",",è\1re,,é\1rons,é\1rez,","é\1rerais,é\1rerais,é\1rerait,é\1rerions,é\1reriez,é\1reraient",é\1rer
.*é[djlmnprsty]er,é([djlmnprsty])er,avoir,é\1ant,é\1é,"è\1e,è\1es,è\1e,é\1ons,é\1ez,è\1ent","é\1ais,é\1ais,é\1ait,é\1ions,é\1iez,é\1aient","é\1ai,é\1as,é\1a,é\1âmes,é\1âtes,é\1èrent","é\1erai,é\1eras,é\1era,é\1erons,é\1erez,é\1eront","è\1e,è\1es,è\1e,é\1ions,é\1iez,è\1ent","é\1asse,é\1asses,é\1ât,é\1assions,é\1assiez,é\1assent",",è\1e,,é\1ons,é\1ez,","é\1erais,é\1erais,é\1erait,é\1erions,é\1eriez,é\1eraient",é\1er
.*écher,écher,avoir,échant,éché,"èche,èches,èche,échons,échez,èchent","échais,échais,échait,échions,échiez,échaient","échai,échas,écha,échâmes,échâtes,échèrent","écherai,écheras,échera,écherons,écherez,écheront","èche,èches,èche,échions,échiez,èchent","échasse,échasses,échât,échassions,échassiez,échassent",",èche,,échons,échez,","écherais,écherais,écherait,écherions,écheriez,écheraient",écher
.*ég[lnru]er,ég([lnru])er,avoir,ég\1ant,ég\1é,"èg\1e,èg\1es,èg\1e,ég\1ons,ég\1ez,èg\1ent","ég\1ais,ég\1ais,ég\1ait,ég\1ions,ég\1iez,ég\1aient","ég\1ai,ég\1as,ég\1a,ég\1âmes,ég\1âtes,ég\1èrent","ég\1erai,ég\1eras,ég\1era,ég\1erons,ég\1erez,ég\1eront","èg\1e,èg\1es,èg\1e,ég\1ions,ég\1iez,èg\1ent","ég\1asse,ég\1asses,ég\1ât,ég\1assions,ég\1assiez,ég\1assent",",èg\1e,,ég\1ons,ég\1ez,","ég\1erais,ég\1erais,ég\1erait,ég\1erions,ég\1eriez,ég\1eraient",ég\1er
.*éger,éger,avoir,égeant,égé,"ège,èges,ège,égeons,égez,ègent","égeais,égeais,égeait,égions,égiez,égeaient","égeai,égeas,égea,égeâmes,égeâtes,égèrent","égerai,égeras,égera,égerons,égerez,égeront","ège,èges,ège,égions,égiez,ègent","égeasse,égeasses,égeât,égeassions,égeassiez,égeassent",",ège,,égeons,égez,","égerais,égerais,égerait,égerions,égeriez,égeraient",éger
.*équer,équer,avoir,équant,équé,"èque,èques,èque,équons,équez,èquent","équais,équais,équait,équions,équiez,équaient","équai,équas,équa,équâmes,équâtes,équèrent","équerai,équeras,équera,équerons,équerez,équeront","èque,èques,èque,équions,équiez,èquent","équasse,équasses,équât,équassions,équassiez,équassent",",èque,,équons,équez,","équerais,équerais,équerait,équerions,équeriez,équeraient",équer
.*ger,er,avoir,eant,é,"e,es,e,eons,ez,ent","eais,eais,eait,ions,iez,eaient","eai,eas,ea,eâmes,eâtes,èrent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","easse,easses,eât,eassions,eassiez,eassent",",e,,eons,ez,","erais,erais,erait,erions,eriez,eraient",er
.*er,er,avoir,ant,é,"e,es,e,ons,ez,ent","ais,ais,ait,ions,iez,aient","ai,as,a,âmes,âtes,èrent","erai,eras,era,erons,erez,eront","e,es,e,ions,iez,ent","asse,asses,ât,assions,assiez,assent",",e,,ons,ez,","erais,erais,erait,erions,eriez,eraient",er
advenir,enir,avoir,enant,enu,",,ient,,,iennent",",,enait,,,enaient",",,int,,,inrent",",,iendra,,,iendront",",,ienne,,,iennent",",,înt,,,inssent",",,,,,",",,iendrait,,,iendraient",enir
apparoir,aroir,avoir,,,",,ert,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",aroir
asservir|répartir,ir,avoir,issant,i,"is,is,it,issons,issez,issent","issais,issais,issait,issions,issiez,issaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","isse,isses,isse,issions,issiez,issent","isse,isses,ît,issions,issiez,issent",",is,,issons,issez,","irais,irais,irait,irions,iriez,iraient",ir
avenir,enir,avoir,enant,,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",enir
avoir,avoir,avoir,ayant,eu,"ai,as,a,avons,avez,ont","avais,avais,avait,avions,aviez,avaient","eus,eus,eut,eûmes,eûtes,eurent","aurai,auras,aura,aurons,aurez,auront","aie,aies,ait,ayons,ayez,aient","eusse,eusses,eût,eussions,eussiez,eussent",",aie,,ayons,ayez,","aurais,aurais,aurait,aurions,auriez,auraient",avoir
bienvenir,enir,avoir,,enu,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",enir
bénir,ir,avoir,issant,i|it,"is,is,it,issons,issez,issent","issais,issais,issait,issions,issiez,issaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","isse,isses,isse,issions,issiez,issent","isse,isses,ît,issions,issiez,issent",",is,,issons,issez,","irais,irais,irait,irions,iriez,iraient",ir
chaloir,loir,avoir,,,",,ut,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",loir
choir,oir,avoir,,u,"ois,ois,oit,ons,oyez,oient",",,,,,","us,us,ut,ûmes,ûtes,urent","oirai|errai,oiras|erras,oira|erra,oirons|errons,oirez|errez,oiront|erront",",,,,,",",,ût,,,",",,,,,","oirais|errais,oirais|errais,oirait|errait,oirions|errions,oiriez|erriez,oiraient|erraient",oir
circonvenir|contrevenir|prévenir|subvenir|.*tenir,enir,avoir,enant,enu,"iens,iens,ient,enons,enez,iennent","enais,enais,enait,enions,eniez,enaient","ins,ins,int,înmes,întes,inrent","iendrai,iendras,iendra,iendrons,iendrez,iendront","ienne,iennes,ienne,enions,eniez,iennent","insse,insses,înt,inssions,inssiez,inssent",",iens,,enons,enez,","iendrais,iendrais,iendrait,iendrions,iendriez,iendraient",enir
convenir,enir,avoir,enant,enu,"iens,iens,ient,enons,enez,iennent","enais,enais,enait,enions,eniez,enaient","ins,ins,int,înmes,întes,inrent","iendrai,iendras,iendra,iendrons,iendrez,iendront","ienne,iennes,ienne,enions,eniez,iennent","insse,insses,înt,inssions,inssiez,inssent",",iens,,enons,enez,","iendrais,iendrais,iendrait,iendrions,iendriez,iendraient",enir
déchoir,oir,avoir,,u,"ois,ois,oit|et,oyons,oyez,oient",",,,,,","us,us,ut,ûmes,ûtes,urent","oirai|errai,oiras|erras,oira|erra,oirons|errons,oirez|errez,oiront|erront","oie,oies,oie,oyions,oyiez,oient","usse,usses,ût,ussions,ussiez,ussent",",,,,,","oirais|errais,oirais|errais,oirait|errait,oirions|errions,oiriez|erriez,oiraient|erraient",oir
défaillir,illir,avoir,illant,illi,"ille|us,illes|us,ille|ut,illons,illez,illent","illais,illais,illait,illions,illiez,illaient","illis,illis,illit,illîmes,illîtes,illirent","illirai|udrai,illiras|udras,illira|udra,illirons,illirez,illiront","ille,illes,ille,illions,illiez,illent","illisse,illisses,illît,illissions,illissiez,illissent",",ille,,illons,illez,","illirais,illirais,illirait,illirions,illiriez,illiraient",illir
départir,tir,avoir,tant|tissant,ti,"s,s,t|tit,tons,tez,tent","tais,tais,tait|tissait,tions,tiez,taient","tis,tis,tit,tîmes,tîtes,tirent","tirai,tiras,tira,tirons,tirez,tiront","te,tes,te,tions,tiez,tent","tisse,tisses,tît,tissions,tissiez,tissent",",s,,tons,tez,","tirais,tirais,tirait,tirions,tiriez,tiraient",tir
dépourvoir,oir,avoir,,u,",,,,,",",,,,,","us,us,ut,ûmes,ûtes,urent",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",oir
faillir,illir,avoir,illant,illi,"ille|ux,illes|ux,ille|ut,illons,illez,illent","illais,illais,illait,illions,illiez,illaient","illis,illis,illit,illîmes,illîtes,illirent","illirai|udrai,illiras|udras,illira|udra,illirons,illirez,illiront","ille,illes,ille,illions,illiez,illent","illisse,illisses,illît,illissions,illissiez,illissent",",ille,,illons,illez,","illirais|udrais,illirais,illirait,illirions,illiriez,illiraient",illir
falloir,lloir,avoir,,llu,",,ut,,,",",,llait,,,",",,llut,,,",",,udra,,,",",,ille,,,",",,llût,,,",",,,,,",",,udrait,,,",lloir
férir,ir,avoir,,u,",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ir
gésir,ésir,avoir,isant,,"is,is,ît,isons,isez,isent","isais,isais,isait,isions,isiez,isaient",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",",,,,,",ésir
